id,rfm_r,rfm_f,rfm_m
1708,34645,1,29990.0
1709,30349,19,110385.6
1711,30517,1,2590.0
1712,28764,3,30670.0
1714,29940,13,780004.65
1715,27900,1,19521.0
1719,33613,2,6778.0
1720,30805,2,37780.0
1721,26820,18,346600.0
1724,31717,6,248860.0
1725,30733,1,26990.0
1728,29028,1,799.0
1729,32869,5,130750.0
1730,25332,3,5260.1
1732,27732,1,34990.0
1735,22932,3,163429.0
1737,32389,23,1225992.0
1738,982,88,1546535.9
1740,34645,1,699.0
1741,29988,3,69950.0
1744,28788,3,22110.0
1745,27036,2,85960.0
1746,30132,4,37810.0
1747,30493,6,131499.0
1748,28332,2,31960.0
1749,27492,1,11490.0
1751,1452,46,174714.0
1753,28188,3,36950.0
1754,30325,2,32738.0
1755,26532,5,26360.0
1756,420,7,50259.0
1759,21924,3,106814.0
1760,28284,1,6790.0
1761,31525,2,76360.0
1763,24708,7,664432.1
1765,27276,5,3960.0
1767,28428,2,7980.0
1768,33037,5,442250.0
1769,29172,8,162254.0
1770,27900,1,699.0
1771,27012,1,4990.0
1772,21756,9,93117.1
1774,294,6,74538.0
1779,25932,10,2557816.5
1780,46117,1,4990.0
1782,23652,4,47969.0
1784,30325,3,72950.0
1787,31789,2,40881.0
1788,35557,3,49750.0
1789,23416,3,32610.0
1791,38773,1,1990.0
1792,39829,1,4990.0
1793,28140,5,243750.0
1795,27324,1,16490.0
1796,28068,1,15990.0
1797,26412,20,1186340.0
1799,35245,2,13960.0
1801,31669,1,1290.0
1802,26412,8,142260.0
1805,27372,7,426284.0
1809,33013,5,97278.0
1810,27588,17,141312.0
1811,40717,5,243561.92
1812,28932,2,41978.0
1817,30637,4,74200.0
1818,29412,2,29160.0
1819,28500,18,1418306.0
1820,30661,1,3990.0
1821,6852,15,67750.0
1823,44893,1,3590.0
1824,18012,8,82752.0
1826,5916,11,108884.06
1827,32149,3,34710.0
1828,28812,3,18264.0
1829,29052,2,161078.0
1830,37357,1,1090.0
1832,29964,1,15990.0
1836,30613,1,1990.0
1837,30877,2,39960.0
1838,32269,1,17990.0
1839,27324,5,18780.0
1841,26940,2,25662.0
1842,32797,2,110231.18
1844,32461,3,55410.0
1845,31621,15,2320766.6
1846,28452,5,181830.0
1848,31429,1,4990.0
1849,22356,11,141997.0
1851,26772,4,23520.0
1852,27972,1,6990.0
1853,33061,1,1990.0
1854,31693,3,121550.0
1855,27012,3,197910.0
1856,30733,2,31960.0
1857,27804,1,21990.0
1858,32365,2,27960.0
1860,35605,1,3490.0
1862,29916,2,21580.0
1863,30277,1,16990.0
1865,30108,1,999.0
1866,28740,8,325579.5
1869,27708,2,27182.0
1870,29076,12,645200.0
1872,31117,1,9990.0
1873,35101,1,999.0
1878,30181,1,19990.0
1881,26820,12,221795.98
1883,33325,2,231960.0
1884,28188,1,7990.0
1885,26844,17,1281852.0
1886,27828,1,18790.0
1887,31933,2,45960.0
1888,30084,2,51960.0
1889,48973,1,5990.0
1890,32989,1,39990.0
1891,28164,1,7290.0
1892,41341,4,124640.0
1895,8510,4,41609.0
1896,29556,2,30760.0
1898,26220,7,68731.4
1899,756,17,834584.25
1901,34405,2,19960.0
1906,28380,1,12490.0
1907,34573,1,7990.0
1908,5436,19,560745.8
1909,34069,2,25960.0
1910,29892,10,480962.0
1912,31357,12,35733.0
1914,17772,9,211280.0
1917,34717,1,19890.0
1919,18564,11,234550.0
1920,29340,2,15182.0
1922,33181,2,35960.0
1923,29484,1,16990.0
1924,32557,9,573150.0
1925,28956,3,24950.0
1927,27060,5,79390.0
1928,30949,5,30840.0
1929,32965,1,3690.0
1930,34789,1,12593.0
